Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
36,Overwatch,2016,"Blizzard Entertainment, Square Enix","Windows PC, Nintendo Switch, PlayStation 4, Xbox One",3.3,average: 450h | to finish: -h | to master: -h,5.4K,4.3K,"Shooter, Strategy","Join the fight for the future in the world of Overwatch and choose your hero from a diverse cast of soldiers, scientists, adventurers, and oddities. Bend time, defy physics, and unleash a dizzying array of extraordinary powers and weapons. Engage your enemies in iconic locations from around the globe in the ultimate team-based shooter."
37,Rocket League,2015,Psyonix,"Windows PC, Mac, Linux, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One",3.2,average: 261h | to finish: 69h | to master: 1434h,5K,4K,"Indie, Racing, Sport","Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special “Mutators” that let you change the rules entirely, hockey and basketball-inspired Extra Modes, and more than 500 trillion possible cosmetic customization combinations."
38,Resident Evil 7: Biohazard,2017,"Capcom Development Division 1, Capcom","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4, PlayStation VR, Xbox One, Google Stadia, iOS",4.1,average: 13h | to finish: 9h | to master: 43h,9.2K,11K,"Adventure, Puzzle, Shooter","Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode."
39,Clair Obscur: Expedition 33,2025,"Sandfall Interactive, Kepler Interactive","Windows PC, PlayStation 5, Xbox Series X|S",4.6,average: 46h | to finish: 42h | to master: 64h,18K,26K,"Adventure, Indie, RPG, Turn Based Strategy",Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.
40,Doom,2016,"id Software, Bethesda Softworks","Windows PC, PlayStation 4, Xbox One",3.9,average: 15h | to finish: 12h | to master: 28h,6.4K,7.5K,Shooter,"Developed by id software, the studio that pioneered the first-person shooter genre and created multiplayer Deathmatch, Doom returns as a brutally fun and challenging modern-day shooter experience. Relentless demons, impossibly destructive guns, and fast, fluid movement provide the foundation for intense, first-person combat – whether you’re obliterating demon hordes through the depths of Hell in the single-player campaign, or competing against your friends in numerous multiplayer modes. Expand your gameplay experience using Doom SnapMap game editor to easily create, play, and share your content with the world."
41,Balatro,2024,"LocalThunk, Playstack","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",4.2,average: 45h | to finish: 22h | to master: 207h,13K,15K,"Card & Board Game, Indie, Strategy, Turn Based Strategy","Balatro is a deck-building roguelite in which players construct poker hands to earn chips and overcome enemy blinds. The game features mechanics for enhancing a deck of playing cards, purchasing Jokers that modify hand effects, and discovering synergies to progress through increasingly challenging encounters."
42,Bloodborne,2015,"FromSoftware, Sony Computer Entertainment",PlayStation 4,4.5,average: 65h | to finish: 32h | to master: 77h,9.5K,14K,"Adventure, RPG","An action RPG in which the player embodies a Hunter who, after being transfused with the mysterious blood local to the city of Yharnam, sets off into a ""night of the Hunt"", an extended night in which Hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and, for the more resilient and insightful Hunters, uncover the answers to the Hunt's many mysteries."
43,Fall Guys,2020,"Mediatonic, Devolver Digital","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",3.0,average: 29h | to finish: 23h | to master: 52h,4.6K,2.5K,"Indie, Platform, Racing","Fall Guys flings hordes of contestants together online in a mad dash through round after round of escalating chaos until one victor remains! Battle bizarre obstacles, shove through unruly competitors, and overcome the unbending laws of physics to avoid both humiliation and elimination. Leave your dignity at the door and prepare for hilarious failure in your quest for the crown."
44,Batman: Arkham City,2011,"Rocksteady Studios, WB Games","Windows PC, Nintendo Switch, PlayStation 3, Xbox 360, OnLive Game System",4.3,average: 25h | to finish: 14h | to master: 78h,5.1K,9.5K,"Adventure, Brawler","Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight."
45,Tomb Raider,2013,"Crystal Dynamics, Feral Interactive","Windows PC, Mac, Linux, PlayStation 3, Xbox 360, Android, iOS",3.7,average: 15h | to finish: 13h | to master: 22h,4.5K,6.1K,"Adventure, Platform, Puzzle, Shooter","Tomb Raider explores the intense and gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor. Armed only with raw instincts and the ability to push beyond the limits of human endurance, Lara must fight to unravel the dark history of a forgotten island to escape its relentless hold."
