Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
147,Dark Souls,2011,"FromSoftware, Bandai Namco Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",4.3,average: 79h | to finish: 30h | to master: 66h,4.2K,6K,"Adventure, RPG","Dark Souls is an action role-playing game developed by FromSoftware and published by Bandai Namco Entertainment. Released in September 2011 as a spiritual sequel to Demon's Souls, it is set in a dark, medieval fantasy world. It is renowned for its challenging gameplay, intricate level design, and deep lore. Players control a customizable character known as the Chosen Undead, embarking on a perilous journey to uncover the secrets of the cursed land of Lordran. Dark Souls is known for its punishing difficulty, requiring players to carefully manage combat, stamina, and resources while navigating hostile environments filled with dangerous enemies and formidable bosses. The game features a unique multiplayer component, allowing players to leave messages for others, summon allies for cooperative play, or invade other players' worlds for PvP combat. The original release of Dark Souls received critical acclaim for its atmospheric world, innovative mechanics, and rewarding gameplay, solidifying its place as a seminal title in the action RPG genre."
148,New Super Mario Bros. Wii,2009,"Nintendo Entertainment Analysis & Development, Nintendo","Wii U, Wii",3.7,average: 26h | to finish: 8h | to master: 20h,2.6K,3.2K,"Adventure, Platform","New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and the Penguin Suit, which turn characters into their propeller and penguin forms, respectively."
149,Little Nightmares,2017,"Tarsier Studios, Bandai Namco Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Xbox One, Android, Google Stadia, iOS",3.8,average: 5h | to finish: 4h | to master: 10h,3.8K,4.8K,"Adventure, Indie, Platform, Puzzle","Little Nightmares is a puzzle-platform horror adventure game developed by Tarsier Studios and published by Bandai Namco Entertainment. Set in a mysterious world, Little Nightmares follows the journey of Six, a hungry little girl who must escape the Maw, an iron vessel inhabited by monstrous, twisted beings."
150,Assassin's Creed Origins,2017,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.5,average: 55h | to finish: 56h | to master: 99h,2.9K,3.3K,"Adventure, RPG","Assassin’s Creed Origins is an action-adventure game set in ancient Egypt at the end of the Ptolemaic era. The story follows Bayek, a Medjay tasked with protecting the people, as personal tragedy draws him into a wider conflict that leads to the origins of the Assassin Brotherhood. The game features a large open-world recreation of Egypt, including cities, deserts, and the Nile, with an increased emphasis on exploration. Gameplay combines stealth, melee and ranged combat, and role-playing elements such as character leveling, skill trees, and gear progression."
151,Star Wars Battlefront II,2017,"EA Digital Illusions CE, Electronic Arts","Windows PC, PlayStation 4, Xbox One",3.5,average: 56h | to finish: 9h | to master: -h,2.7K,3.6K,"Adventure, Shooter","Star Wars Battlefront II is a first- and third-person shooter set across all three eras of the Star Wars saga. Players engage in large-scale ground and space battles using class-based soldiers, reinforcements, vehicles, and iconic heroes or villains from the franchise. Multiplayer modes span maps drawn from locations across the films, while a single-player campaign follows an original story set between Return of the Jedi and The Force Awakens. The game launched in 2017 amid a major loot box controversy that led to the removal of microtransactions and a complete overhaul of its progression system, after which it received years of free content updates that substantially expanded its offerings."
152,Call of Duty: Black Ops III,2015,"Treyarch, Activision","Windows PC, Mac, PlayStation 4, Xbox One",3.5,average: 168h | to finish: 26h | to master: -h,3.2K,3.2K,"Adventure, Shooter","Call of Duty: Black Ops III deploys players into a dark, twisted future where a new breed of Black Ops soldier emerges and the lines are blurred between our own humanity and the technology we created to stay ahead, in a world where cutting-edge military robotics define warfare. With three unique game modes: Campaign, Multiplayer and Zombies, providing fans with the deepest and most ambitious Call of Duty ever."
153,Uncharted: Drake's Fortune,2007,"Naughty Dog, Sony Computer Entertainment",PlayStation 3,3.3,average: 10h | to finish: 8h | to master: 21h,2.6K,2.8K,"Adventure, Platform, Shooter","A 400-year-old clue in the coffin of Sir Francis Drake sets a modern-day fortune hunter on an exploration for the fabled treasure of El Dorado, leading to the discovery of a forgotten island in the middle of the Pacific Ocean. The search turns deadly when Nathan Drake becomes stranded on the island and hunted by mercenaries. Outnumbered and outgunned, Drake and his companions must fight to survive as they begin to unravel the terrible secrets hidden on the Island."
154,Monster Hunter: World,2018,Capcom,"Windows PC, PlayStation 4, Xbox One",3.9,average: 144h | to finish: 75h | to master: -h,3.2K,4K,"Adventure, RPG","Welcome to a new world! Take on the role of a hunter and slay ferocious monsters in a living, breathing ecosystem where you can use the landscape and its diverse inhabitants to get the upper hand. Hunt alone or in co-op with up to three other players, and use materials collected from fallen foes to craft new gear and take on even bigger, badder beasts!"
155,Firewatch,2016,"Campo Santo, Panic","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, Xbox One",3.8,average: 4h | to finish: 4h | to master: 5h,4.6K,5.1K,"Adventure, Indie","Firewatch is a single-player first-person video game where you, as a man named Henry, explore the Wyoming wilderness after taking a summer job as a fire lookout. What is supposed to be a peaceful respite from your complicated life takes a turn when you start to question some of the things that are happening to you. Your only human connection is over a handheld radio, which you’ll use to speak with your supervisor Delilah about the things both of you are experiencing."
156,The Last of Us Remastered,2014,"Naughty Dog, Sony Computer Entertainment",PlayStation 4,4.4,average: 29h | to finish: 18h | to master: 107h,3.7K,6.5K,"Adventure, Shooter","The Last of Us Remastered is an updated release of the PS3 game The Last of Us. It is identical to the PS3 version but runs at a 1080p resolution and incorporates character models with a higher resolution. There are also improved shadows and lighting, upgraded textures, 60 frames per second and other types of improvements. In addition to the base game, two map packs and the expansion The Last of Us: Left Behind are included."
157,Battlefield 1,2016,"EA Digital Illusions CE, Electronic Arts","Windows PC, PlayStation 4, Xbox One",3.7,average: 39h | to finish: 7h | to master: -h,2.5K,3.4K,Shooter,"Discover classic Battlefield gameplay with epic multiplayer and an adventure-filled campaign. Experience the dawn of all-out war, only in Battlefield 1. Fight your way through epic battles going from tight urban combat in a besieged French city to big open spaces in the Italian Alps or frantic combats in the Arabic sand dunes. Experience large-scale battles as infantry or piloting vehicles on land, air and sea, from the tanks and bikes on the ground, to bi-planes and gigantic battleships."
158,Metal Gear Solid,1998,"Konami Computer Entertainment Japan, Konami","PlayStation 3, PlayStation Portable, PlayStation",4.3,average: 11h | to finish: 11h | to master: -h,5.8K,7.6K,"Adventure, Shooter, Tactical","Metal Gear Solid is a stealth game created by Hideo Kojima which follows the MSX2 video games Metal Gear and Metal Gear 2: Solid Snake. Despite a transition to 3D, Metal Gear Solid's gameplay remains similar to his predecessors. The game utilizes a traditional top-down view and the player must navigate the protagonist Solid Snake through the game's areas without being detected. Detection will set off an alarm which draws armed enemies to his location. Conversations with Snake's allies and cutscenes are used extensively to advance the plot and gain more insight into it. Metal Gear Solid is regarded as one of the greatest and most important video games of all time, and helped popularize the stealth genre and in-engine cinematic cutscenes."
159,Pokémon Legends: Arceus,2022,"Game Freak, Nintendo",Nintendo Switch,3.7,average: 49h | to finish: 36h | to master: 83h,5K,4.1K,"Adventure, RPG, Turn Based Strategy","The Pokémon Legends: Arceus game honors past Pokémon games’ core gameplay while infusing new action and RPG elements. You’ll need to catch, survey, and research wild Pokémon in a long-gone era of the Sinnoh region to create and complete the region’s first Pokédex."
160,The Sims 4,2014,"The Sims Studio, Electronic Arts","Windows PC, Mac, PlayStation 4, Xbox One",3.1,average: 241h | to finish: 23h | to master: -h,3.3K,2.6K,"RPG, Simulator","Unleash your imagination and create a unique world of Sims that's an expression of you! Explore and customize every detail from Sims to homes, and much more with The Sims 4. Life, and Sims, are yours to control. Customize your unique Sims, design their homes & take them on wild adventures through celebdom, romance, holidays and more."
161,Assassin's Creed Odyssey,2018,"Ubisoft Québec, Ubisoft Entertainment","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.4,average: 93h | to finish: 101h | to master: 129h,3.2K,3.3K,"Adventure, RPG","Write your own epic odyssey and become a legendary Spartan hero in Assassin's Creed Odyssey, an inspiring adventure where you must forge your destiny and define your own path in a world on the brink of tearing itself apart. Influence how history unfolds as you experience a rich and ever-changing world shaped by your decisions."
162,Pokémon Black Version,2010,"Game Freak, Nintendo",Nintendo DS,4.2,average: 47h | to finish: 30h | to master: 106h,2.8K,4.3K,"Adventure, RPG, Turn Based Strategy","Pokémon Black Version and Pokémon White Version are the primary paired versions of Generation V. Black and White follow the trends set up by previous games in the series. Two player characters (one male and one female) travel a new region, Unova, on their Pokémon journeys. This region is inhabited by various Pokémon, and unlike before, none of those available prior to Generation V can be obtained before completing the main story by defeating Team Plasma. The games' names were revealed on the official Japanese Pokémon website on April 9, 2010, and scans from the subsequent issue of the magazine leaked the following day, April 10. Pokémon Black and White are followed in 2012 by two sequels, Pokémon Black 2 and White 2, which are set two years after the events of Black and White. Black 2 and White 2 are the second and final paired versions of Generation V."
163,Uncharted 3: Drake's Deception,2011,"Naughty Dog, Sony Computer Entertainment",PlayStation 3,3.9,average: 14h | to finish: 11h | to master: -h,2K,3.8K,"Adventure, Platform, Shooter","A search for the fabled ""Atlantis of the Sands"" propels fortune hunter Nathan Drake on a trek into the heart of the Arabian Desert. When the terrible secrets of this lost city are unearthed, Drake's quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears."
164,Far Cry 5,2018,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.3,average: 34h | to finish: 31h | to master: -h,3.1K,2.8K,"Adventure, Shooter","Welcome to Hope County, Montana, land of the free and the brave, but also home to a fanatical doomsday cult known as The Project at Eden’s Gate that is threatening the community's freedom. Stand up to the cult’s leader, Joseph Seed and the Heralds, and spark the fires of resistance that will liberate the besieged community. In this expansive world, your limits and creativity will be tested against the biggest and most ruthless baddest enemy Far Cry has ever seen. It’ll be wild and it’ll get weird, but as long as you keep your wits about you, the residents of Hope County can rest assured knowing you’re their beacon of hope."
165,Super Mario Galaxy 2,2010,Nintendo,"Wii U, Wii",4.4,average: 29h | to finish: 15h | to master: 31h,3.2K,5K,"Adventure, Platform","Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players."
166,Halo 3,2007,"Bungie, Microsoft Game Studios","Windows PC, Xbox One, Xbox 360",4.3,average: 31h | to finish: 5h | to master: -h,3.2K,5.1K,Shooter,"Halo 3 is a shooter game where players primarily experience gameplay from a first-person perspective. Much of the gameplay takes place on foot, but also includes segments focused on vehicular combat. The balance of weapons and objects in the game was adjusted to better adhere to the ""Golden Triangle of Halo"": these are weapons, grenades, and melee attacks, which are available to a player in most situations. Players may dual-wield some weapons, forgoing the use of grenades and melee attacks in favor of the combined firepower of two weapons. Many weapons available in previous installments of the series return with minor cosmetic and power alterations. Unlike previous installments, the player's secondary weapon is visible on their player model, holstered or slung across the player's back. Halo 3 introduces ""support weapons"", which are cumbersome two-handed weapons that slow the player, but offer greatly increased firepower in return. In addition to weapons, the game contains a new class of gear called equipment; these items have various effects, ranging from defensive screens to shield regeneration and flares. Only one piece of equipment can be carried at a time. The game's vehicular component has been expanded with new drivable and AI-only vehicles."
167,Journey,2012,"ThatGameCompany, Annapurna Interactive","Windows PC, PlayStation 4, PlayStation 3, iOS",3.9,average: 2h | to finish: 1h | to master: 7h,3.1K,4.2K,"Adventure, Indie, Platform","A third-person adventure game in which the player, controlling a robed figure, makes a pilgrimage through a desert landscape to a rugged mountain with a beacon of light in the distance while uncovering the history of their people, rescuing and cooperating with friendly creatures, avoiding predatory ones and communicating with other travelers."
168,Dispatch,2025,AdHoc Studio,"Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, Web browser",4.1,average: 9h | to finish: 9h | to master: 21h,10K,11K,"Adventure, Point-and-Click, Strategy","Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero."
169,Outlast,2013,Red Barrels,"Windows PC, Mac, Linux, Nintendo Switch, PlayStation 4, Xbox One",3.6,average: 7h | to finish: 5h | to master: 15h,3.6K,3.8K,"Adventure, Indie","Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare."
170,LEGO Star Wars: The Complete Saga,2007,"Traveller's Tales, LucasArts","Windows PC, Mac, PlayStation 3, Wii, Xbox 360, Android, iOS",4.1,average: 29h | to finish: 21h | to master: 38h,2.5K,4.4K,"Adventure, Platform","Lego Star Wars: The Complete Saga is a Lego-themed action-adventure game with platforming and puzzle-solving, played from a third-person perspective in a world built from Lego pieces. It combines and updates the content of two earlier games, Lego Star Wars: The Video Game and Lego Star Wars II: The Original Trilogy, covering the six films of the Skywalker Saga across dozens of story levels. Players take on many different characters, each with distinct abilities such as lightsabers and the Force for Jedi and Sith, or blasters and grappling hooks for others, and use those abilities to progress and reach hidden areas. It supports drop-in co-op play, a Cantina hub world for free roaming and character customization, a Free Play mode for replaying levels, and a large amount of collectibles to gather."
171,Persona 3 Reload,2024,"P Studio, Sega","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One",4.3,average: 83h | to finish: 79h | to master: 105h,9.4K,9.6K,"Adventure, RPG","Step into the shoes of a transfer student thrust into an unexpected fate when entering the hour ""hidden"" between one day and the next. Awaken an incredible power and chase the mysteries of the Dark Hour, fight for your friends, and leave a mark on their memories forever. Persona 3 Reload is a captivating reimagining of the genre-defining RPG, reborn for the modern era."
172,Risk of Rain 2,2020,"Hopoo Games, Gearbox Publishing","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Google Stadia",4.0,average: 76h | to finish: 17h | to master: 440h,4.1K,4.2K,"Adventure, Indie, Shooter","The classic multiplayer roguelike, Risk of Rain, returns with an extra dimension and more challenging action. No run will ever be the same with randomized stages, enemies, bosses, and items. Play solo, or team up with up to four friends to fight your way through hordes of monsters, unlock new loot, and find a way to escape the planet."
173,Dead by Daylight,2016,"Behaviour Interactive, Starbreeze Studios","Windows PC, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Android, Google Stadia, iOS",3.0,average: 314h | to finish: 363h | to master: -h,4.5K,2.9K,Strategy,"Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits. Pick a side and step into a world of tension and terror with horror gaming's best asymmetrical multiplayer. Survivors play in third-person and have the advantage of better situational awareness. The Killer plays in first-person and is more focused on their prey. The Survivors' goal in each encounter is to escape the Killing Ground without getting caught by the Killer - something that sounds easier than it is, especially when the environment changes every time you play."
174,Inside,2016,Playdead,"Windows PC, Mac, Nintendo Switch, PlayStation 4, Xbox One, iOS",3.9,average: 4h | to finish: 3h | to master: 4h,3.3K,4.4K,"Adventure, Indie, Platform, Puzzle","Inside is a puzzle-platformer developed by Playdead, presented in a 2.5D side-scrolling format with a dark, predominantly monochromatic visual style. The player controls an unnamed boy navigating a dystopian environment, solving environmental puzzles, avoiding hostile guards and creatures, and using a mind-control device to manipulate bodies in order to progress. The game features no dialogue or HUD, relying on visual and audio cues to guide the player through its increasingly surreal and dangerous settings."
175,Assassin's Creed Unity,2014,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",3.4,average: 37h | to finish: 30h | to master: 83h,2.8K,2.7K,"Adventure, RPG","Assassin’s Creed Unity is an action-adventure game set in Paris during the French Revolution. The player controls Arno Dorian, an Assassin who seeks to uncover the forces behind the political unrest. The game introduces new weapons, including the Phantom Blade, a modified Hidden Blade with ranged capabilities. Gameplay emphasizes stealth, parkour, and close combat, featuring updated free-running mechanics and a revised fighting system. The open-world setting recreates 18th-century Paris and includes historical events such as the storming of the Bastille and the execution of King Louis XVI. Unity also includes a cooperative multiplayer mode supporting up to four players."
176,Resident Evil 4,2005,"Capcom Production Studio 4, Capcom",Nintendo GameCube,4.4,average: 25h | to finish: 15h | to master: -h,3.1K,5.8K,"Adventure, Shooter","Resident Evil 4 is the sixth installment in the Resident Evil series and is often noted for its departure from the fixed camera angles of earlier titles. It introduced an over-the-shoulder third-person perspective, faster-paced gunplay, and more dynamic controls. The game features larger, more open environments and a new AI system that enables enemies to coordinate attacks and attempt to corner the player. Enemies exhibit more human-like behavior, such as climbing ladders, opening doors, and using weapons."
177,Halo: Reach,2010,"Bungie, Microsoft Game Studios","Windows PC, Xbox One, Xbox 360",4.2,average: 28h | to finish: 6h | to master: -h,3.2K,5K,Shooter,"Halo: Reach is a first-person shooter set in 2552, serving as a prequel to Halo: Combat Evolved. Players control Noble Six, a member of Noble Team, an elite squad of Spartan supersoldiers defending the human colony world of Reach from a Covenant invasion. The game features campaign gameplay playable solo or cooperatively, with armor abilities replacing single-use equipment from previous entries. Multiplayer includes competitive modes, a Firefight survival mode, and Forge World, a large-scale level editor. The game also introduces space combat dogfight sequences to the series."
178,Super Mario 3D Land,2011,"Nintendo, iQue",Nintendo 3DS,3.6,average: 20h | to finish: 10h | to master: 26h,3K,2.9K,"Adventure, Platform","Super Mario 3D Land is the second 3D Super Mario platformer for a handheld device, and the successor to Super Mario Galaxy 2. The game is closely based on side-scrolling Mario games, as it combine elements from both traditional 2D Mario games and modern free-roaming 3D Mario games. It also introduces elements into the series, including power-ups and gameplay mechanics."
179,South Park: The Stick of Truth,2014,"Obsidian Entertainment, Ubisoft Entertainment","Windows PC, Nintendo Switch, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",3.9,average: 16h | to finish: 13h | to master: 32h,2.8K,3.8K,"Adventure, RPG, Strategy","South Park: The Stick of Truth is a role-playing game set in the town of South Park, developed in collaboration with series creators Trey Parker and Matt Stone. Players control a new kid who joins a city-wide live-action role-playing game among the local children, which escalates into a conflict with larger stakes. Combat uses a turn-based system with timed button inputs, and the game features exploration, side quests, and the humor of the animated series."
180,Resident Evil Requiem,2026,"Capcom Development Division 1, Capcom","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S",4.4,average: 17h | to finish: 12h | to master: 33h,12K,13K,"Adventure, Puzzle, Shooter","Resident Evil Requiem is the ninth entry in the Resident Evil series. Experience terrifying survival horror with FBI analyst Grace Ashcroft, and dive into pulse-pounding action with legendary agent Leon S. Kennedy. Both of their journeys and unique gameplay styles intertwine into a heart-stopping, emotional experience that will chill you to your core."
181,Super Mario Bros. 3,1988,"Nintendo R&D4, Nintendo","Nintendo 3DS, Wii U, Wii, Family Computer, NES, Arcade",4.1,average: 6h | to finish: 5h | to master: -h,2.6K,3.4K,"Adventure, Platform","Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles."
182,Lies of P,2023,"Round8 Studio, Neowiz","Windows PC, Mac, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One",4.1,average: 37h | to finish: 31h | to master: 48h,5.9K,6.5K,"Adventure, RPG","Lies of P is an action role-playing game set in a dark, Belle Époque-inspired city overrun by deadly puppets. Players control Pinocchio, reimagined as a mechanical warrior, navigating a decaying world while making choices that affect the unfolding narrative. The game features challenging melee combat, weapon customization, and a mechanical arm with various abilities."
183,The Legend of Zelda: Majora's Mask,2000,"Nintendo EAD Software Development Group No.3, Nintendo","Wii U, Wii, 64DD, Nintendo 64",4.5,average: 33h | to finish: 31h | to master: -h,3.4K,5.8K,"Adventure, Puzzle","The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety of items, optional quests, and mini-games. It also includes a time system that spans three days, and this cycle must be reset periodically to progress through the game."
184,Watch Dogs 2,2016,"Ubisoft Montreal, Ubisoft Entertainment","Windows PC, PlayStation 4, Xbox One, Google Stadia",3.4,average: 35h | to finish: 22h | to master: 41h,2.7K,2.8K,"Adventure, Shooter","Explore a massive and dynamic open world offering an incredible variety of gameplay possibilities. Hack your way through traffic while you engage in dangerous car chases through the winding streets of San Francisco, traverse the rooftops of the colorful and vibrant neighborhoods of Oakland, and infiltrate the cutting-edge offices of Silicon Valley companies. There are many secrets to uncover in the birthplace of the tech revolution."
185,Super Mario Bros. Wonder,2023,"Nintendo EPD Production Group No. 10, Nintendo",Nintendo Switch,4.1,average: 14h | to finish: 13h | to master: 19h,6.2K,4.9K,Platform,"Super Mario Bros. Wonder is a side-scrolling platform game and the first 2D Super Mario entry since New Super Mario Bros. U (2012). Players choose from twelve characters and traverse levels across the Flower Kingdom, a new setting for the series. The game's central mechanic is the Wonder Flower, which dramatically alters levels in unpredictable ways when touched. New power-ups include an elephant transformation, a bubble flower, and a drill hat, while an equippable badge system allows players to customize their abilities. The game supports local multiplayer for up to four active players and includes an asynchronous online mode."
186,Super Mario Sunshine,2002,"Nintendo Entertainment Analysis & Development, Nintendo",Nintendo GameCube,3.8,average: 20h | to finish: 14h | to master: 23h,3.2K,3.2K,"Adventure, Platform","Super Mario Sunshine is a Mario action-adventure 3D platformer. It follows Super Mario 64, and is the second 3D Mario platformer. Gameplay features a combination of action and puzzle solving, with numerous stages and multiple episodes to each stage, and plenty of hidden secrets and surprises. This game introduced many recurring characters and bosses in the Mario series, including Toadsworth, Bowser Jr., Petey Piranha, Gooper Blooper, Piantas, Nokis, Shadow Mario, and F.L.U.D.D. Super Mario Sunshine pays homage to Mario's Italian heritage and upbringing, with many of the locations in the game having Italian names and sometimes referencing Italian culture."
187,Middle-earth: Shadow of Mordor,2014,"Monolith Productions, WB Games","Windows PC, Mac, Linux, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",3.6,average: 24h | to finish: 22h | to master: 36h,1.8K,2.5K,"Adventure, Brawler, RPG","Middle-earth: Shadow of Mordor is a open world third-person action role-playing video game developed by Monolith Productions and published by Warner Bros. Interactive Entertainment, which takes place in the world of J.R.R. Tolkien's Legendarium. The game takes place in the 60-year gap between the events of Tolkien's The Hobbit and The Lord of The Rings. It is a story of revenge, slaughter, and mystery set entirely in Mordor, the Land of Shadows. At its center is Talion, an ordinary man who loses everything, including his mortal life. The game is set in a fully open world, and features various role-playing game elements such as experience points and skills. There are various ways the player can complete their main objective. Aside from the main storyline, there are various side quests and random events the player can complete within Mordor. The melee system is inspired by that of the Batman Arkham series. Getting into a good fighting rhythm, using both regular attacks and counter-attacks will improve the player's combo multiplier. A unique feature of Middle-earth: Shadow of Mordor is the Nemesis system. Every enemy in the game has their own name, rank, and memory. These enemies will continue to do their own jobs and tasks even when they're off screen. If the player does not kill an enemy in an encounter, this enemy will remember the player and change their tactics and conversations based on the encounter."
188,Super Smash Bros. Melee,2001,"HAL Laboratory, Nintendo",Nintendo GameCube,4.1,average: 120h | to finish: 9h | to master: -h,2.3K,3.3K,"Fighting, Platform","A crossover platform fighting game featuring characters from Nintendo franchises including Mario, The Legend of Zelda, Star Fox, Pokémon, and Fire Emblem. Unlike traditional fighters, the goal is to knock opponents off the stage rather than deplete a health bar. Damage accumulates as a percentage, increasing the distance a character is launched when hit. Players use simple one-button inputs combined with joystick directions to execute moves. The game supports up to four players simultaneously and includes various single-player modes alongside its multiplayer focus. Its fast-paced, aggressive gameplay fostered a long-running competitive esports scene that persisted well beyond the game's original lifespan."
189,Disco Elysium: The Final Cut,2021,ZA/UM,"Windows PC, Mac, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Xbox One, Google Stadia",4.6,average: 31h | to finish: 35h | to master: -h,5.8K,9.3K,"Adventure, Indie, RPG","Disco Elysium: The Final Cut is an enhanced edition of the original role-playing game developed and published by ZA/UM. It retains the core gameplay and narrative while adding full voice acting, new quests, additional endings, and other narrative revisions."
190,God of War III,2010,"SCE Santa Monica Studio, Sony Computer Entertainment",PlayStation 3,4.2,average: 13h | to finish: 10h | to master: 22h,2.3K,4.4K,"Adventure, Brawler","Set in the realm of brutal Greek mythology, God of War III is a single-player game that allows players to take on the climatic role of the ex-Spartan warrior, Kratos, as he scales through the intimidating heights of Mt. Olympus and the dark depths of Hell to seek revenge on those who have betrayed him. Armed with double-chained blades, and an array of new weapons and magic for this iteration of the trilogy, Kratos must take on mythology's darkest creatures while solving intricate puzzles throughout his merciless quest to destroy Olympus. Utilizing a new game engine built from the ground up and state-of-the-art visual technologies, the development team behind God of War III has made standard-setting strides in giving players the realistic feel of actually being on the battlegrounds. With texture resolutions quadrupling since God of War II on PlayStation 2 computer entertainment system, God of War III, in its debut on the PS3 system, will feature fluid, life-like characters, as well as dynamic lighting effects, a robust weapon system, and world-changing scenarios that will truly bring unmistakable realism to Kratos' fateful quest. Players will have a chance to join battles on a grand scale that is four times larger than its predecessor."
191,Halo: Combat Evolved,2001,"Bungie, Microsoft Game Studios","Windows PC, Mac, Xbox 360, Xbox",3.9,average: 15h | to finish: 8h | to master: -h,2.9K,3.9K,Shooter,"Bent on Humankind's extermination, a powerful fellowship of alien races known as the Covenant is wiping out Earth's fledgling interstellar empire. Climb into the boots of Master Chief, a biologically altered super-soldier, as you and the other surviving defenders of a devastated colony-world make a desperate attempt to lure the alien fleet away from earth. Shot down and marooned on the ancient ring-world Halo, you begin a guerilla-war against the Covenant. Fight for humanity against an alien onslaught as you race to uncover the mysteries of Halo."
192,Rayman Legends,2013,"Ubisoft Montpellier, Ubisoft Entertainment","Windows PC, PlayStation 4, Xbox One, PlayStation 3, Xbox 360, Google Stadia",4.0,average: 20h | to finish: 11h | to master: 38h,2.3K,3.7K,"Adventure, Platform","Rayman Legends is a side-scrolling platform game supporting up to four simultaneous players. Players control Rayman, Globox, Teensies, or the new character Barbara as they run, jump, and attack through over one hundred twenty levels. An assist character named Murfy can interact with the environment by cutting ropes, activating mechanisms, and grabbing enemies. The game features rhythm-based levels set to music, daily and weekly online challenge stages with leaderboards, remastered levels from Rayman Origins, and a local multiplayer football minigame called Kung Foot."
193,Pokémon Sword,2019,"Game Freak, Nintendo",Nintendo Switch,3.0,average: 74h | to finish: 43h | to master: 122h,3.3K,1.8K,"Adventure, RPG, Turn Based Strategy","A turn-based role-playing game set in the Galar region, a fictional land inspired by the United Kingdom. Players catch, train, and battle creatures called Pokémon while traveling across the region to collect eight Gym badges and ultimately challenge the reigning Champion. The game introduces the Dynamax and Gigantamax mechanics, which temporarily transform Pokémon into giant forms with enhanced attacks. A fully explorable open-world Wild Area connects major locations, with weather-dependent Pokémon encounters and cooperative raid battles for up to four players. The first mainline Pokémon entry on the Nintendo Switch, it notably adopted DLC expansions instead of the series' traditional enhanced re-releases."
194,Pokémon X,2013,"Game Freak, Nintendo",Nintendo 3DS,3.4,average: 85h | to finish: 63h | to master: -h,2.7K,2.4K,"Adventure, RPG, Turn Based Strategy","An all-new 3D Pokemon adventure packed with never-before-seen Pokemon will launch worldwide in October 2013. Pokemon X and Pokemon Y will present a new generation of Pokemon, and introduce players to an exciting new adventure in a breathtaking 3D world."
